timestamp,case_id,asset_ip,severity,analyst_id,time_to_close_mins,escalated,resolution_notes
2026-09-01T00:00:00,SOC-CASE-1000,10.0.2.50 (UserVLAN),Medium,Analyst_C,34,No,"False positive, closed."
2026-09-01T02:00:00,SOC-CASE-1001,10.0.1.5 (Web),Medium,Analyst_C,32,No,"False positive, closed."
2026-09-01T04:00:00,SOC-CASE-1002,10.0.1.5 (Web),High,Analyst_B,4,No,No action needed.
2026-09-01T06:00:00,SOC-CASE-1003,10.0.3.10 (Mail),Medium,Analyst_C,49,No,"False positive, closed."
2026-09-01T08:00:00,SOC-CASE-1004,10.0.2.50 (UserVLAN),Low,Analyst_C,32,No,"False positive, closed."
2026-09-01T10:00:00,SOC-CASE-1005,10.0.1.5 (Web),Medium,Analyst_C,60,No,"False positive, closed."
2026-09-01T12:00:00,SOC-CASE-1006,10.0.2.50 (UserVLAN),Low,Analyst_B,69,No,Escalated to Tier 2.
2026-09-01T14:00:00,SOC-CASE-1007,10.0.1.5 (Web),Low,Analyst_A,17,No,"Investigated payload, blocked IP."
2026-09-01T16:00:00,SOC-CASE-1008,10.0.1.5 (Web),High,Analyst_B,1,No,No action needed.
2026-09-01T18:00:00,SOC-CASE-1009,10.0.3.10 (Mail),Medium,Analyst_C,53,No,"False positive, closed."
2026-09-01T20:00:00,SOC-CASE-1010,10.0.3.10 (Mail),Low,Analyst_C,57,No,"False positive, closed."
2026-09-01T22:00:00,SOC-CASE-1011,10.0.2.50 (UserVLAN),High,Analyst_B,4,No,Closed as false positive.
2026-09-02T00:00:00,SOC-CASE-1012,10.0.2.50 (UserVLAN),Medium,Analyst_A,32,No,Isolated host and scanned.
2026-09-02T02:00:00,SOC-CASE-1013,10.0.2.50 (UserVLAN),Low,Analyst_C,11,No,"False positive, closed."
2026-09-02T04:00:00,SOC-CASE-1014,10.0.3.10 (Mail),High,Analyst_B,3,No,Routine traffic.
2026-09-02T06:00:00,SOC-CASE-1015,10.0.3.10 (Mail),Low,Analyst_A,32,No,Escalated to Tier 2.
2026-09-02T08:00:00,SOC-CASE-1016,10.0.2.50 (UserVLAN),Low,Analyst_B,42,No,Isolated host and scanned.
2026-09-02T10:00:00,SOC-CASE-1017,10.0.3.10 (Mail),Medium,Analyst_A,31,No,"Investigated payload, blocked IP."
2026-09-02T12:00:00,SOC-CASE-1018,10.0.2.50 (UserVLAN),High,Analyst_C,47,No,"False positive, closed."
2026-09-02T14:00:00,SOC-CASE-1019,10.0.3.10 (Mail),Low,Analyst_A,90,No,Escalated to Tier 2.
2026-09-02T16:00:00,SOC-CASE-1020,10.0.3.10 (Mail),Low,Analyst_B,85,No,Isolated host and scanned.
2026-09-02T18:00:00,SOC-CASE-1021,10.0.3.10 (Mail),Medium,Analyst_B,53,No,Escalated to Tier 2.
2026-09-02T20:00:00,SOC-CASE-1022,10.0.1.5 (Web),High,Analyst_A,25,Yes,"Investigated payload, blocked IP."
2026-09-02T22:00:00,SOC-CASE-1023,10.0.1.5 (Web),Low,Analyst_A,56,No,"Investigated payload, blocked IP."
2026-09-03T00:00:00,SOC-CASE-1024,10.0.3.10 (Mail),Medium,Analyst_A,27,No,Escalated to Tier 2.
2026-09-03T02:00:00,SOC-CASE-1025,10.0.3.10 (Mail),Low,Analyst_A,94,No,"Investigated payload, blocked IP."
2026-09-03T04:00:00,SOC-CASE-1026,10.0.2.50 (UserVLAN),High,Analyst_A,80,Yes,Escalated to Tier 2.
2026-09-03T06:00:00,SOC-CASE-1027,10.0.3.10 (Mail),High,Analyst_A,88,Yes,Escalated to Tier 2.
2026-09-03T08:00:00,SOC-CASE-1028,10.0.2.50 (UserVLAN),High,Analyst_C,23,No,"False positive, closed."
2026-09-03T10:00:00,SOC-CASE-1029,10.0.1.5 (Web),Low,Analyst_C,19,No,"False positive, closed."
2026-09-03T12:00:00,SOC-CASE-1030,10.0.3.10 (Mail),Low,Analyst_C,49,No,"False positive, closed."
2026-09-03T14:00:00,SOC-CASE-1031,10.0.2.50 (UserVLAN),Low,Analyst_A,107,No,Escalated to Tier 2.
2026-09-03T16:00:00,SOC-CASE-1032,10.0.2.50 (UserVLAN),Medium,Analyst_B,52,No,Escalated to Tier 2.
2026-09-03T18:00:00,SOC-CASE-1033,10.0.2.50 (UserVLAN),Medium,Analyst_B,48,No,Isolated host and scanned.
2026-09-03T20:00:00,SOC-CASE-1034,10.0.1.5 (Web),Medium,Analyst_B,70,No,"Investigated payload, blocked IP."
2026-09-03T22:00:00,SOC-CASE-1035,10.0.1.5 (Web),Low,Analyst_A,109,No,Isolated host and scanned.
2026-09-04T00:00:00,SOC-CASE-1036,10.0.1.5 (Web),Low,Analyst_C,35,No,"False positive, closed."
2026-09-04T02:00:00,SOC-CASE-1037,10.0.1.5 (Web),Critical,Analyst_A,28,Yes,Isolated host and scanned.
2026-09-04T04:00:00,SOC-CASE-1038,10.0.1.5 (Web),Medium,Analyst_A,63,No,Isolated host and scanned.
2026-09-04T06:00:00,SOC-CASE-1039,10.0.1.5 (Web),Medium,Analyst_C,52,No,"False positive, closed."
2026-09-04T08:00:00,SOC-CASE-1040,10.0.3.10 (Mail),Medium,Analyst_A,77,No,Isolated host and scanned.
2026-09-04T10:00:00,SOC-CASE-1041,10.0.1.5 (Web),Critical,Analyst_B,4,No,Routine traffic.
2026-09-04T12:00:00,SOC-CASE-1042,10.0.1.5 (Web),Medium,Analyst_B,104,No,Isolated host and scanned.
2026-09-04T14:00:00,SOC-CASE-1043,10.0.1.5 (Web),Medium,Analyst_A,51,No,"Investigated payload, blocked IP."
2026-09-04T16:00:00,SOC-CASE-1044,10.0.3.10 (Mail),Low,Analyst_C,28,No,"False positive, closed."
2026-09-04T18:00:00,SOC-CASE-1045,10.0.2.50 (UserVLAN),Medium,Analyst_B,117,No,Isolated host and scanned.
2026-09-04T20:00:00,SOC-CASE-1046,10.0.2.50 (UserVLAN),High,Analyst_B,1,No,Routine traffic.
2026-09-04T22:00:00,SOC-CASE-1047,10.0.1.5 (Web),Low,Analyst_C,24,No,"False positive, closed."
2026-09-05T00:00:00,SOC-CASE-1048,10.0.1.5 (Web),High,Analyst_A,28,Yes,"Investigated payload, blocked IP."
2026-09-05T02:00:00,SOC-CASE-1049,10.0.3.10 (Mail),Low,Analyst_A,27,No,Escalated to Tier 2.
2026-09-05T04:00:00,SOC-CASE-1050,10.0.1.5 (Web),High,Analyst_B,1,No,Routine traffic.
2026-09-05T06:00:00,SOC-CASE-1051,10.0.1.5 (Web),Critical,Analyst_A,113,Yes,Isolated host and scanned.
2026-09-05T08:00:00,SOC-CASE-1052,10.0.1.5 (Web),Low,Analyst_B,104,No,Isolated host and scanned.
2026-09-05T10:00:00,SOC-CASE-1053,10.0.1.5 (Web),High,Analyst_B,3,No,No action needed.
2026-09-05T12:00:00,SOC-CASE-1054,10.0.3.10 (Mail),Medium,Analyst_A,61,No,"Investigated payload, blocked IP."
2026-09-05T14:00:00,SOC-CASE-1055,10.0.3.10 (Mail),Medium,Analyst_C,24,No,"False positive, closed."
2026-09-05T16:00:00,SOC-CASE-1056,10.0.3.10 (Mail),Low,Analyst_B,117,No,"Investigated payload, blocked IP."
2026-09-05T18:00:00,SOC-CASE-1057,10.0.1.5 (Web),Medium,Analyst_A,18,No,"Investigated payload, blocked IP."
2026-09-05T20:00:00,SOC-CASE-1058,10.0.3.10 (Mail),Low,Analyst_A,66,No,Escalated to Tier 2.
2026-09-05T22:00:00,SOC-CASE-1059,10.0.1.5 (Web),Low,Analyst_A,50,No,Escalated to Tier 2.
2026-09-06T00:00:00,SOC-CASE-1060,10.0.1.5 (Web),Low,Analyst_C,37,No,"False positive, closed."
2026-09-06T02:00:00,SOC-CASE-1061,10.0.1.5 (Web),Low,Analyst_B,22,No,Escalated to Tier 2.
2026-09-06T04:00:00,SOC-CASE-1062,10.0.2.50 (UserVLAN),Medium,Analyst_A,35,No,Escalated to Tier 2.
2026-09-06T06:00:00,SOC-CASE-1063,10.0.2.50 (UserVLAN),Medium,Analyst_B,65,No,Isolated host and scanned.
2026-09-06T08:00:00,SOC-CASE-1064,10.0.1.5 (Web),Medium,Analyst_A,111,No,"Investigated payload, blocked IP."
2026-09-06T10:00:00,SOC-CASE-1065,10.0.3.10 (Mail),Low,Analyst_B,26,No,Isolated host and scanned.
2026-09-06T12:00:00,SOC-CASE-1066,10.0.2.50 (UserVLAN),Low,Analyst_A,28,No,Escalated to Tier 2.
2026-09-06T14:00:00,SOC-CASE-1067,10.0.1.5 (Web),Low,Analyst_C,31,No,"False positive, closed."
2026-09-06T16:00:00,SOC-CASE-1068,10.0.1.5 (Web),Medium,Analyst_B,98,No,"Investigated payload, blocked IP."
2026-09-06T18:00:00,SOC-CASE-1069,10.0.2.50 (UserVLAN),Low,Analyst_B,65,No,Isolated host and scanned.
2026-09-06T20:00:00,SOC-CASE-1070,10.0.1.5 (Web),Medium,Analyst_B,105,No,Isolated host and scanned.
2026-09-06T22:00:00,SOC-CASE-1071,10.0.1.5 (Web),Medium,Analyst_C,13,No,"False positive, closed."
2026-09-07T00:00:00,SOC-CASE-1072,10.0.2.50 (UserVLAN),Medium,Analyst_A,107,No,Isolated host and scanned.
